DATE,CCLACBW027SBOG
2004-12-15,290.9606
2004-12-22,296.9349
2004-12-29,309.0006
2005-01-05,309.0221
2005-01-12,305.4378
2005-01-19,304.1594
2005-01-26,302.7418
2005-02-02,298.0653
2005-02-09,294.2591
2005-02-16,301.2313
2005-02-23,301.2587
2005-03-02,300.9477
2005-03-09,298.2637
2005-03-16,300.1047
2005-03-23,299.8646
2005-03-30,300.3723
2005-04-06,299.7768
2005-04-13,298.4395
2005-04-20,303.2952
2005-04-27,304.1654
2005-05-04,299.6055
2005-05-11,297.2681
2005-05-18,300.8973
2005-05-25,299.8158
2005-06-01,298.428
2005-06-08,298.9753
2005-06-15,302.151
2005-06-22,304.4701
2005-06-29,301.8983
2005-07-06,300.7432
2005-07-13,300.5992
2005-07-20,304.3979
2005-07-27,304.8071
2005-08-03,301.8788
2005-08-10,301.3663
2005-08-17,302.8237
2005-08-24,303.0877
2005-08-31,300.923
2005-09-07,300.9769
2005-09-14,305.4887
2005-09-21,306.3264
2005-09-28,306.0098
2005-10-05,294.8692
2005-10-12,293.3837
2005-10-19,295.5096
2005-10-26,298.0299
2005-11-02,299.5839
2005-11-09,297.6605
2005-11-16,301.8578
2005-11-23,301.733
2005-11-30,299.1979
2005-12-07,297.9747
2005-12-14,304.353
2005-12-21,303.7649
2005-12-28,305.7271
2006-01-04,303.425
2006-01-11,300.72
2006-01-18,304.8713
2006-01-25,304.0656
2006-02-01,297.8111
2006-02-08,296.4638
2006-02-15,297.9692
2006-02-22,296.7072
2006-03-01,293.1394
2006-03-08,291.1893
2006-03-15,290.8893
2006-03-22,293.6604
2006-03-29,293.0862
2006-04-05,289.9366
2006-04-12,293.4741
2006-04-19,295.9033
2006-04-26,298.3763
2006-05-03,297.017
2006-05-10,298.0514
2006-05-17,303.7928
2006-05-24,304.6158
2006-05-31,301.9649
2006-06-07,298.5788
2006-06-14,301.8542
2006-06-21,296.5287
2006-06-28,296.7753
2006-07-05,297.7775
2006-07-12,296.0625
2006-07-19,303.0572
2006-07-26,302.4431
2006-08-02,299.9571
2006-08-09,300.6577
2006-08-16,304.1253
2006-08-23,306.6318
2006-08-30,304.4239
2006-09-06,304.6411
2006-09-13,303.517
2006-09-20,304.7688
2006-09-27,303.5428
2006-10-04,300.9848
2006-10-11,300.7532
2006-10-18,300.6264
2006-10-25,300.1184
2006-11-01,300.4561
2006-11-08,300.7829
2006-11-15,302.8814
2006-11-22,304.1527
2006-11-29,305.5923
2006-12-06,307.8128
2006-12-13,311.6661
2006-12-20,312.944
2006-12-27,315.8283
2007-01-03,315.1607
2007-01-10,314.6136
2007-01-17,316.9192
2007-01-24,317.8596
2007-01-31,312.0237
2007-02-07,311.3771
2007-02-14,314.9896
2007-02-21,311.8893
2007-02-28,302.8616
2007-03-07,303.0557
2007-03-14,301.9126
2007-03-21,303.8652
2007-03-28,302.4373
2007-04-04,304.5242
2007-04-11,305.8705
2007-04-18,308.9634
2007-04-25,310.2454
2007-05-02,308.9462
2007-05-09,308.6082
2007-05-16,310.8031
2007-05-23,310.8265
2007-05-30,313.3417
2007-06-06,312.3331
2007-06-13,314.2896
2007-06-20,317.971
2007-06-27,316.4696
2007-07-04,316.3778
2007-07-11,316.7598
2007-07-18,318.1726
2007-07-25,317.5072
2007-08-01,313.3565
2007-08-08,314.772
2007-08-15,317.2159
2007-08-22,317.7821
2007-08-29,320.224
2007-09-05,320.1753
2007-09-12,318.4808
2007-09-19,325.4999
2007-09-26,324.4542
2007-10-03,319.872
2007-10-10,321.1449
2007-10-17,320.7687
2007-10-24,322.2758
2007-10-31,320.0996
2007-11-07,323.6864
2007-11-14,329.0352
2007-11-21,331.5854
2007-11-28,334.1061
2007-12-05,333.3101
2007-12-12,337.481
2007-12-19,345.3397
2007-12-26,344.6996
2008-01-02,341.7014
2008-01-09,338.8275
2008-01-16,339.6415
2008-01-23,340.331
2008-01-30,334.5235
2008-02-06,332.2842
2008-02-13,330.0624
2008-02-20,332.9556
2008-02-27,331.3353
2008-03-05,330.4014
2008-03-12,331.4122
2008-03-19,328.9682
2008-03-26,327.2587
2008-04-02,323.0477
2008-04-09,324.5177
2008-04-16,333.1067
2008-04-23,331.205
2008-04-30,330.9577
2008-05-07,331.2236
2008-05-14,331.4943
2008-05-21,329.5165
2008-05-28,330.5144
2008-06-04,328.3578
2008-06-11,328.1506
2008-06-18,333.0046
2008-06-25,332.4868
2008-07-02,329.342
2008-07-09,329.8005
2008-07-16,336.0813
2008-07-23,336.9334
2008-07-30,338.2586
2008-08-06,337.575
2008-08-13,337.5613
2008-08-20,343.1851
2008-08-27,344.0489
2008-09-03,342.5048
2008-09-10,342.1116
2008-09-17,346.7719
2008-09-24,348.4959
2008-10-01,366.0271
2008-10-08,366.6884
2008-10-15,374.737
2008-10-22,375.261
2008-10-29,378.6359
2008-11-05,378.4914
2008-11-12,380.8256
2008-11-19,385.1032
2008-11-26,382.7514
2008-12-03,382.1874
2008-12-10,381.2498
2008-12-17,385.8131
2008-12-24,385.361
2008-12-31,383.1425
2009-01-07,385.4704
2009-01-14,395.9918
2009-01-21,399.7652
2009-01-28,393.4843
2009-02-04,393.343
2009-02-11,392.9329
2009-02-18,398.5014
2009-02-25,397.3935
2009-03-04,391.6578
2009-03-11,393.1957
2009-03-18,385.676
2009-03-25,376.6665
2009-04-01,370.1392
2009-04-08,371.2599
2009-04-15,375.7592
2009-04-22,372.7252
2009-04-29,374.0951
2009-05-06,365.6811
2009-05-13,357.8046
2009-05-20,367.1142
2009-05-27,369.468
2009-06-03,363.0715
2009-06-10,358.4262
2009-06-17,357.6396
2009-06-24,357.6885
2009-07-01,356.0962
2009-07-08,355.1081
2009-07-15,356.2211
2009-07-22,359.2484
2009-07-29,357.7418
2009-08-05,352.959
2009-08-12,354.0659
2009-08-19,357.9163
2009-08-26,357.7567
2009-09-02,350.5042
2009-09-09,354.5428
2009-09-16,355.406
2009-09-23,351.1747
2009-09-30,343.652
2009-10-07,344.7942
2009-10-14,344.577
2009-10-21,348.3198
2009-10-28,347.5533
2009-11-04,343.3529
2009-11-11,342.3821
2009-11-18,346.0663
2009-11-25,345.9679
2009-12-02,340.2459
2009-12-09,338.7413
2009-12-16,337.8796
2009-12-23,333.0749
2009-12-30,332.2796
2010-01-06,326.2137
2010-01-13,324.5044
2010-01-20,323.8428
2010-01-27,322.9595
2010-02-03,318.6666
2010-02-10,318.1185
