DATE,STICKCPIM157SFRBATL
1984-10-01,0.391350000
1984-11-01,0.324570000
1984-12-01,0.395920000
1985-01-01,0.239000000
1985-02-01,0.534060000
1985-03-01,0.402950000
1985-04-01,0.318720000
1985-05-01,0.541520000
1985-06-01,0.396510000
1985-07-01,0.323110000
1985-08-01,0.440310000
1985-09-01,0.296240000
1985-10-01,0.507900000
1985-11-01,0.541540000
1985-12-01,0.266340000
1986-01-01,0.487140000
1986-02-01,0.363870000
1986-03-01,0.488280000
1986-04-01,0.448070000
1986-05-01,0.262490000
1986-06-01,0.400620000
1986-07-01,0.278540000
1986-08-01,0.302860000
1986-09-01,0.390910000
1986-10-01,0.414340000
1986-11-01,0.300160000
1986-12-01,0.330910000
1987-01-01,0.366240000
1987-02-01,0.320330000
1987-03-01,0.331130000
1987-04-01,0.502010000
1987-05-01,0.300510000
1987-06-01,0.184500000
1987-07-01,0.288230000
1987-08-01,0.409410000
1987-09-01,0.407150000
1987-10-01,0.464660000
1987-11-01,0.266280000
1987-12-01,0.311680000
1988-01-01,0.409470000
1988-02-01,0.341590000
1988-03-01,0.403170000
1988-04-01,0.473990000
1988-05-01,0.341920000
1988-06-01,0.400300000
1988-07-01,0.326240000
1988-08-01,0.391470000
1988-09-01,0.443880000
1988-10-01,0.371470000
1988-11-01,0.378280000
1988-12-01,0.359630000
1989-01-01,0.392370000
1989-02-01,0.375430000
1989-03-01,0.366650000
1989-04-01,0.356840000
1989-05-01,0.473970000
1989-06-01,0.389330000
1989-07-01,0.452530000
1989-08-01,0.354670000
1989-09-01,0.304250000
1989-10-01,0.486650000
1989-11-01,0.382360000
1989-12-01,0.386650000
1990-01-01,0.447480000
1990-02-01,0.396380000
1990-03-01,0.619210000
1990-04-01,0.432190000
1990-05-01,0.383270000
1990-06-01,0.562780000
1990-07-01,0.562500000
1990-08-01,0.627430000
1990-09-01,0.357890000
1990-10-01,0.377920000
1990-11-01,0.277810000
1990-12-01,0.357510000
1991-01-01,0.668930000
1991-02-01,0.467020000
1991-03-01,0.250510000
1991-04-01,0.259520000
1991-05-01,0.320230000
1991-06-01,0.308360000
1991-07-01,0.374890000
1991-08-01,0.346380000
1991-09-01,0.399100000
1991-10-01,0.223090000
1991-11-01,0.309650000
1991-12-01,0.345310000
1992-01-01,0.313280000
1992-02-01,0.236860000
1992-03-01,0.348470000
1992-04-01,0.308000000
1992-05-01,0.184200000
1992-06-01,0.245250000
1992-07-01,0.268330000
1992-08-01,0.212210000
1992-09-01,0.153680000
1992-10-01,0.468200000
1992-11-01,0.312980000
1992-12-01,0.200490000
1993-01-01,0.363560000
1993-02-01,0.259020000
1993-03-01,0.145690000
1993-04-01,0.378380000
1993-05-01,0.289140000
1993-06-01,0.278820000
1993-07-01,0.146690000
1993-08-01,0.289200000
1993-09-01,0.258940000
1993-10-01,0.282180000
1993-11-01,0.320050000
1993-12-01,0.304050000
1994-01-01,0.203020000
1994-02-01,0.281960000
1994-03-01,0.280350000
1994-04-01,0.191160000
1994-05-01,0.181750000
1994-06-01,0.247810000
1994-07-01,0.173740000
1994-08-01,0.352530000
1994-09-01,0.218500000
1994-10-01,0.204010000
1994-11-01,0.305820000
1994-12-01,0.110090000
1995-01-01,0.414790000
1995-02-01,0.275090000
1995-03-01,0.345240000
1995-04-01,0.309610000
1995-05-01,0.230250000
1995-06-01,0.228460000
1995-07-01,0.232670000
1995-08-01,0.239810000
1995-09-01,0.307330000
1995-10-01,0.314160000
1995-11-01,0.217890000
1995-12-01,0.105160000
1996-01-01,0.327900000
1996-02-01,0.276480000
1996-03-01,0.223140000
1996-04-01,0.208950000
1996-05-01,0.273160000
1996-06-01,0.237830000
1996-07-01,0.277910000
1996-08-01,0.225970000
1996-09-01,0.309520000
1996-10-01,0.230180000
1996-11-01,0.262370000
1996-12-01,0.182360000
1997-01-01,0.206380000
1997-02-01,0.176220000
1997-03-01,0.268330000
1997-04-01,0.243700000
1997-05-01,0.220020000
1997-06-01,0.196730000
1997-07-01,0.212510000
1997-08-01,0.140590000
1997-09-01,0.208760000
1997-10-01,0.273040000
1997-11-01,0.194730000
1997-12-01,0.248350000
1998-01-01,0.243950000
1998-02-01,0.191910000
1998-03-01,0.246390000
1998-04-01,0.219860000
1998-05-01,0.205160000
1998-06-01,0.181130000
1998-07-01,0.205500000
1998-08-01,0.169930000
1998-09-01,0.187540000
1998-10-01,0.212050000
1998-11-01,0.180420000
1998-12-01,0.174100000
1999-01-01,0.208538
1999-02-01,0.135694
1999-03-01,0.178467
1999-04-01,0.212001
1999-05-01,0.130376
1999-06-01,0.100888
1999-07-01,0.250634
1999-08-01,0.160329
1999-09-01,0.144733
1999-10-01,0.199993
1999-11-01,0.270511
1999-12-01,0.187267
2000-01-01,0.35487
2000-02-01,0.176327
2000-03-01,0.270402
2000-04-01,0.13861
2000-05-01,0.263778
2000-06-01,0.24392
2000-07-01,0.260883
2000-08-01,0.297119
2000-09-01,0.174872
2000-10-01,0.219049
2000-11-01,0.215025
2000-12-01,0.277242
2001-01-01,0.282333
2001-02-01,0.262264
2001-03-01,0.260577
2001-04-01,0.263322
2001-05-01,0.260544
2001-06-01,0.364821
2001-07-01,0.264664
2001-08-01,0.344288
2001-09-01,0.291778
2001-10-01,0.310645
2001-11-01,0.322518
2001-12-01,0.23064
2002-01-01,0.267052
2002-02-01,0.24848
2002-03-01,0.186946
2002-04-01,0.245624
2002-05-01,0.247374
2002-06-01,0.181357
2002-07-01,0.271298
2002-08-01,0.227027
2002-09-01,0.181292
2002-10-01,0.229863
2002-11-01,0.221716
2002-12-01,0.208176
2003-01-01,0.223929
2003-02-01,0.17893
2003-03-01,0.134679
2003-04-01,0.095053
2003-05-01,0.148913
2003-06-01,0.104254
2003-07-01,0.24582
2003-08-01,0.160603
2003-09-01,0.19462
2003-10-01,0.210782
2003-11-01,0.127801
2003-12-01,0.170789
2004-01-01,0.244683
2004-02-01,0.245669
2004-03-01,0.213855
2004-04-01,0.223881
2004-05-01,0.133238
2004-06-01,0.225217
2004-07-01,0.16143
2004-08-01,0.172951
2004-09-01,0.193854
2004-10-01,0.20646
2004-11-01,0.169376
2004-12-01,0.170147
2005-01-01,0.256754
2005-02-01,0.221033
2005-03-01,0.174295
2005-04-01,0.211437
2005-05-01,0.23481
2005-06-01,0.09734
2005-07-01,0.231732
2005-08-01,0.138483
2005-09-01,0.248808
2005-10-01,0.201974
2005-11-01,0.271427
2005-12-01,0.200389
2006-01-01,0.236027
2006-02-01,0.266327
2006-03-01,0.250822
2006-04-01,0.29703
2006-05-01,0.341688
2006-06-01,0.313399
2006-07-01,0.285684
2006-08-01,0.245264
2006-09-01,0.228571
2006-10-01,0.27191
2006-11-01,0.146207
2006-12-01,0.188454
2007-01-01,0.272426
2007-02-01,0.283584
